Tree	P0	Like	Normalized
255	37.53097	1.99293517048759E+016	0.5046007146
243	37.479065	1.8921306309623E+016	0.4790775348
257	33.479969	346869241773898	0.008782547
271	31.365569	41869091600025.9	0.0010601034
291	31.365569	41869091600025.9	0.0010601034
274	31.167588	34348793147797.5	0.0008696934
283	31.167588	34348793147797.5	0.0008696934
249	31.123115	32854669602635.1	0.000831863
269	31.074994	31311106788396.2	0.0007927808
284	31.074994	31311106788396.2	0.0007927808
252	30.891001	26049013137160.9	0.0006595473
250	30.792074	23595426103430.2	0.0005974238
259	24.486279	43078031752.7377	1.0907131315042E-06
242	23.980505	25977717804.2982	6.57742166547752E-07
256	23.817408	22068299412.7858	5.5875774681749E-07
261	23.561096	17078667379.749	4.3242288520995E-07
272	23.192067	11808282157.8393	0.000000299
290	23.192067	11808282157.8393	0.000000299
248	23.146575	11283135339.2377	2.856830588195E-07
241	22.995556	9701593623.07391	2.45639253481716E-07
285	22.940923	9185784840.21963	2.32579246097126E-07
289	22.940923	9185784840.21963	2.32579246097126E-07
246	22.895432	8777276474.97093	2.2223602891247E-07
273	22.526907	6071715369.28608	1.5373264317294E-07
292	22.526907	6071715369.28608	1.5373264317294E-07
253	22.284453	4764474096.66304	1.20633980952757E-07
233	21.586455	2370709228.83667	0.00000006
268	21.537011	2256342553.17067	5.7129408001761E-08
251	21.050798	1387539678.09333	3.51317756592564E-08
141	20.881828	1171824766.16687	2.96699874222741E-08
152	20.881828	1171824766.16687	2.96699874222741E-08
260	19.594267	323356827.330255	8.18722498175029E-09
258	19.379265	260800159.605275	6.60332302117743E-09
297	17.458349	38200111.7895296	0.000000001
288	17.217981	30038216.1317673	7.60551850881577E-10
245	16.990679	23930850.4900757	6.05916561541384E-10
129	16.910993	22097896.9206886	5.59507140167553E-10
169	16.379207	12983722.2988853	3.28741027177921E-10
237	15.282187	4334804.20028896	1.09754964917919E-10
204	15.111496	3654595.59236272	9.25324403354169E-11
295	13.427367	678314.958759495	1.71745783804919E-11
293	13.268819	578861.776456124	1.46564760556039E-11
270	13.186999	533385.123292053	1.35050310901602E-11
286	13.028451	455181.26353687	1.15249504481548E-11
247	12.919231	408085.095891312	1.03325002269055E-11
244	12.767015	350464.606384548	8.8735797054327E-12
294	12.762208	348783.965677843	8.83102676571936E-12
267	12.521839	274261.963556731	6.94416882462238E-12
254	12.057109	172320.08747134	4.36305408069158E-12
144	11.407704	90012.5154320034	2.27906959967296E-12
151	10.985525	59013.705941343	1.49419602962384E-12
238	10.844044	51228.1261979789	1.29706924093483E-12
206	10.725258	45490.4639747075	1.15179464791307E-12
232	9.935908	20659.0343189322	5.23075895045352E-13
221	9.695539	16244.9764755805	4.11314269523619E-13
277	9.54654	13996.1839997973	3.54376025514624E-13
280	9.54654	13996.1839997973	3.54376025514624E-13
225	9.327207	11239.6951365825	2.84583175711026E-13
266	9.306172	11005.7374261697	2.7865948940083E-13
275	9.306172	11005.7374261697	2.7865948940083E-13
265	9.12436	9176.1224195833	2.32334598683088E-13
276	9.12436	9176.1224195833	2.32334598683088E-13
212	8.930886	7561.9623076764	1.91464912702245E-13
214	8.930886	7561.9623076764	1.91464912702245E-13
223	8.899735	7330.0308235893	1.8559252937807E-13
234	8.899735	7330.0308235893	1.8559252937807E-13
202	8.734394	6212.9680027367	1.57309085640145E-13
