Tree	P1	P0	sum	like	Normalized
49	32.153573	-53.99656	-21.842987	3.26370786169961E-10	0.9667125599
48	27.767335	-53.99656	-26.229225	4.06249012111981E-12	0.0120331243
42	26.213431	-52.897947	-26.684516	2.57668867664045E-12	0.0076321699
43	26.213431	-52.897947	-26.684516	2.57668867664045E-12	0.0076321699
32	25.970977	-52.897947	-26.92697	2.02192719986838E-12	0.0059889626
39	16.448732	-52.897947	-36.449215	1.48015452025631E-16	4.38422808012906E-07
45	16.208365	-52.897947	-36.689582	1.16390355332105E-16	3.44749049588993E-07
37	15.743633	-52.897947	-37.154314	7.31284638919599E-17	2.16607023431794E-07
50	14.053775	-53.99656	-39.942785	4.49851199309699E-18	1.33246241044604E-08
41	8.314663	-52.897947	-44.583284	4.34235948222079E-20	1.28620992710075E-10
46	8.074296	-52.897947	-44.823651	3.41456757520086E-20	1.01139731290362E-10
38	7.846993	-52.897947	-45.050954	2.72031548273299E-20	8.05759355728791E-11
47	5.924017	-52.897947	-46.97393	3.97632073332024E-21	1.17778899270619E-11
31	-5.032407	-51.511653	-56.54406	2.7747685126421E-25	8.21888381415535E-16
35	-5.214219	-51.511653	-56.725872	2.31348564590191E-25	6.85256072452643E-16
40	-5.438845	-51.511653	-56.950498	1.84804685040915E-25	5.47392774475656E-16
36	-5.454585	-51.511653	-56.966238	1.8191863211901E-25	5.38844265460016E-16
44	-5.679212	-51.511653	-57.190865	1.45319172184977E-25	4.30436408196193E-16
34	-6.047546	-51.511653	-57.559199	1.00544308490185E-25	2.97812947599211E-16
33	-36.986845	-49.902215	-86.88906	1.83891097276571E-38	5.44686721104008E-29
10	-89.544313	-53.303412	-142.847725	9.16265385260517E-63	2.71398450360021E-53
8	-100.903382	-52.2048	-153.108182	3.20598453561962E-67	9.49614870148091E-58
9	-101.143749	-52.2048	-153.348549	2.52099138423324E-67	7.46719417821653E-58
3	-101.568015	-52.2048	-153.772815	1.64935818029655E-67	4.88541050902883E-58
1	-132.571399	-50.818506	-183.389905	2.26347770832377E-80	6.70443686234925E-71
29	32.153573	-241.912187	-209.758614	7.99818431625438E-92	2.36906780944047E-82
26	27.767335	-241.912187	-214.144852	9.95571483372853E-94	2.94888972296161E-84
17	25.807966	-241.21904	-215.411074	2.80646235397421E-94	8.31276119468135E-85
23	25.807966	-241.21904	-215.411074	2.80646235397421E-94	8.31276119468135E-85
27	25.565512	-241.21904	-215.653528	2.20223056838427E-94	6.52302240387509E-85
16	16.043267	-241.21904	-225.175773	1.61214584316033E-98	4.77518730518954E-89
19	15.8029	-241.21904	-225.41614	1.26769350743266E-98	3.7549170686052E-89
25	15.338168	-241.21904	-225.880872	7.96496227027067E-99	2.35922741609722E-89
30	14.053775	-241.912187	-227.858412	1.10242489813209E-99	3.26539028762157E-90
18	7.909198	-241.21904	-233.309842	4.72958511626056E-102	1.40090643174737E-92
24	7.668831	-241.21904	-233.550209	3.71905827885918E-102	1.10158767308885E-92
28	7.441528	-241.21904	-233.777512	2.96289693917445E-102	8.77612153426228E-93
15	5.518552	-241.21904	-235.700488	4.33090522210093E-103	1.28281716721201E-93
22	-5.725555	-240.120428	-245.845983	1.69998928884498E-107	5.03538020799489E-98
21	-5.907366	-240.120428	-246.027794	1.41738120960863E-107	4.19829309330311E-98
13	-6.131992	-240.120428	-246.25242	1.13222525710773E-107	3.35365916011491E-98
20	-6.147733	-240.120428	-246.268161	1.11454243708847E-107	3.30128252307914E-98
11	-6.372359	-240.120428	-246.492787	8.90313127361422E-108	2.63711373351043E-98
14	-6.740693	-240.120428	-246.861121	6.15995235758313E-108	1.82458221278793E-98
12	-37.903135	-238.734134	-276.637269	7.21042036233868E-121	2.13573157325665E-111
7	-89.138848	-240.813575	-329.952423	5.05223334036649E-144	1.4964750622363E-134
5	-100.903382	-240.120428	-341.02381	7.85671716816907E-149	2.32716514086341E-139
6	-101.143749	-240.120428	-341.264177	6.178044862429E-149	1.82994122542476E-139
4	-101.568015	-240.120428	-341.688443	4.04198479051362E-149	1.19723873254501E-139
2	-132.859081	-239.021816	-371.880897	3.12017180195764E-162	9.24197078194292E-153
				3.37608922985763E-10	
